performer,main_artist_suggested
Young And Restless,Young And Restless
Neil Diamond,Neil Diamond
The Ovations (Featuring Louis Williams),The Ovations
Isaac Hayes,Isaac Hayes
Duane Eddy His Twangy Guitar And The Rebels,Duane Eddy
Nelly,Nelly
Goody Goody,Goody Goody
John Lennon,John Lennon
The Chainsmokers,The Chainsmokers
Lil Dicky Featuring Fetty Wap & Rich Homie Quan,Lil Dicky
Jay-Z Featuring Beyonce Knowles,Jay-Z
The Angels,The Angels
Taylor Swift,Taylor Swift
Tammy Wynette,Tammy Wynette
Jonathan Cain,Jonathan Cain
Inez & Charlie Foxx,Inez
The Nitty Gritty Dirt Band,The Nitty Gritty Dirt Band
Mel Carter,Mel Carter
Shanice Wilson,Shanice Wilson
The Impressions,The Impressions
'Til Tuesday,Til Tuesday
Cutting Crew,Cutting Crew
Maxine Nightingale,Maxine Nightingale
Bobby Moore,Bobby Moore
Nelson,Nelson
Jermaine Jackson,Jermaine Jackson
Nat Kendrick And The Swans,Nat Kendrick And The Swans
Reel Tight,Reel Tight
The Dixiebelles,The Dixiebelles
Bryan Adams,Bryan Adams
'N Sync,'N Sync
Connie Francis,Connie Francis
The Fleetwoods,The Fleetwoods
Jan & Dean,Jan
The Boys In The Band,The Boys In The Band
ABC,ABC
Skeeter Davis,Skeeter Davis
Barbara Lynn,Barbara Lynn
Steve Lawrence,Steve Lawrence
Rare Earth,Rare Earth
Rod Stewart With Faces,Rod Stewart
The Temptations,The Temptations
Uptown,Uptown
Perry Como,Perry Como
Martina McBride,Martina McBride
Gene Pitney,Gene Pitney
Johnny Rivers,Johnny Rivers
Allan Clarke,Allan Clarke
Dion,Dion
Ashford & Simpson,Ashford
Jr. Walker & The All Stars,Jr. Walker
Rick Cunha,Rick Cunha
Little Peggy March,Little Peggy March
Little Willie John,Little Willie John
Glee Cast,Glee Cast
Luther Ingram,Luther Ingram
Celine Dion,Celine Dion
The Drifters,The Drifters
Ronnie Dyson,Ronnie Dyson
Gloria Gaynor,Gloria Gaynor
Gino & Gina,Gino
Paula Abdul,Paula Abdul
The Duprees featuring Joey Vann,The Duprees
Four Tops,Four Tops
Sha Na Na,Sha Na Na
Gloriana,Gloriana
The 5th Dimension,The 5th Dimension
Tony Toni Tone,Tony Toni Tone
Bill Doggett,Bill Doggett
The Intruders,The Intruders
Andy Gibb,Andy Gibb
Ferrante & Teicher,Ferrante
George Torrence & The Naturals,George Torrence
Little Caesar And The Consuls,Little Caesar And The Consuls
Donald Jenkins & The Delighters,Donald Jenkins
Tommy Edwards,Tommy Edwards
Funkadelic,Funkadelic
Goose Creek Symphony,Goose Creek Symphony
The New Establishment,The New Establishment
Dean Martin,Dean Martin
U2,U2
The Stompers,The Stompers
Duran Duran,Duran Duran
Cat Stevens,Cat Stevens
Elton John,Elton John
Dobie Gray,Dobie Gray
Paul Evans and the Curls,Paul Evans and the Curls
KC And The Sunshine Band,KC And The Sunshine Band
All-4-One,All-4-One
The Fantastic Johnny C,The Fantastic Johnny C
King Curtis & The Kingpins,King Curtis
Sammy Hagar,Sammy Hagar
Sergio Mendes & Brasil '66,Sergio Mendes
Aretha Franklin,Aretha Franklin
Shirley Ellis,Shirley Ellis
The Ronettes,The Ronettes
The Alan Parsons Project,The Alan Parsons Project
Jimmy Smith,Jimmy Smith
Ernie Freeman,Ernie Freeman
Lawrence Welk And His Orchestra,Lawrence Welk And His Orchestra
Bobby Vee,Bobby Vee
Lou Johnson,Lou Johnson
Sandie Shaw,Sandie Shaw
Carpenters,Carpenters
Darlene Love,Darlene Love
Blues Magoos,Blues Magoos
Ral Donner,Ral Donner
The Chicago Loop,The Chicago Loop
Lloyd Price and His Orchestra,Lloyd Price and His Orchestra
Gary Lewis And The Playboys,Gary Lewis And The Playboys
The McCoys,The McCoys
Frankie Valli,Frankie Valli
The Righteous Brothers,The Righteous Brothers
Chairman Of The Board,Chairman Of The Board
Marv Johnson,Marv Johnson
Dr. John,Dr. John
Chicago,Chicago
Mac Davis,Mac Davis
Ray Sawyer,Ray Sawyer
Joni Mitchell,Joni Mitchell
Rita Coolidge,Rita Coolidge
Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,Beyonce
Bill Black's Combo,Bill Black's Combo
Lil Yachty,Lil Yachty
Beyonce,Beyonce
Luke Combs & Brooks & Dunn,Luke Combs
Ciara Featuring Missy Elliott,Ciara
Plain White T's,Plain White T's
Logic Featuring Alessia Cara & Khalid,Logic
Johnny Bond,Johnny Bond
Dan + Shay & Justin Bieber,Dan
Five For Fighting,Five For Fighting
Nancy Sinatra,Nancy Sinatra
Crystal Waters,Crystal Waters
J. Cole & Bas,J. Cole
Feist,Feist
Trippie Redd Featuring Juice WRLD,Trippie Redd
Bobby Russell,Bobby Russell
Skid Row,Skid Row
Bobby Darin,Bobby Darin
Dan + Shay,Dan
Liz Damon's Orient Express,Liz Damon's Orient Express
Spirit,Spirit
Bowling For Soup,Bowling For Soup
J. Cole,J. Cole
Prince,Prince
Yung Joc Featuring Marques Houston & Trey Songz,Yung Joc
M.C. Hammer,M.C. Hammer
Tinashe Featuring ScHoolboy Q,Tinashe
Kevin Gates,Kevin Gates
Trey Songz Featuring T.I.,Trey Songz
Unk,Unk
Lil Tjay,Lil Tjay
Green Day,Green Day
YNW Melly & 9lokknine,YNW Melly
Money Man Featuring Lil Baby,Money Man
TeeFLii Featuring 2 Chainz,TeeFLii
Bruno Mars,Bruno Mars
Eminem,Eminem
The Wilkinsons,The Wilkinsons
Gunna Featuring Young Thug,Gunna
Lil Wayne,Lil Wayne
Redhead Kingpin & The F.B.I.,Redhead Kingpin
Future,Future
The Shirelles,The Shirelles
Travi$ Scott Featuring Future & 2 Chainz,Travi$ Scott
Grand Puba,Grand Puba
Zedd & Katy Perry,Zedd
42 Dugg & Roddy Ricch,42 Dugg
Madonna Featuring Justin Timberlake & Timbaland,Madonna
Birdman Featuring Drake & Lil Wayne,Birdman
Boyz II Men,Boyz II Men
"LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P",LL Cool J
